uberon_id	xref
UBERON:0001791	BTO:0003176
UBERON:0001792	BTO:0003398
UBERON:0001795	BTO:0003175
UBERON:0001797	BTO:0001451
UBERON:0001799	BTO:0002087
UBERON:0001803	BTO:0001873
UBERON:0001806	BTO:0001333
UBERON:0001808	BTO:0001256
UBERON:0001810	BTO:0000205
UBERON:0001811	BTO:0003415
UBERON:0001817	BTO:0000044
UBERON:0001818	BTO:0004165
UBERON:0001820	BTO:0001331
UBERON:0001821	BTO:0001980
UBERON:0001826	BTO:0000912
UBERON:0001827	BTO:0001499
UBERON:0001828	BTO:0000519
UBERON:0001831	BTO:0001004
UBERON:0001832	BTO:0001315
UBERON:0001833	BTO:0001647
UBERON:0001836	BTO:0001202
UBERON:0001837	BTO:0005115
UBERON:0001838	BTO:0004558
UBERON:0001839	BTO:0004685
UBERON:0001840	BTO:0003383
UBERON:0001844	BTO:0000267
UBERON:0001846	BTO:0000630
UBERON:0001853	BTO:0001807
UBERON:0001854	BTO:0001805
UBERON:0001855	BTO:0001692
UBERON:0001862	BTO:0001856
UBERON:0001866	BTO:0001981
UBERON:0001869	BTO:0000231
UBERON:0001870	BTO:0000484
UBERON:0001871	BTO:0001355
UBERON:0001872	BTO:0001001
UBERON:0001873	BTO:0000211
UBERON:0001875	BTO:0002246
UBERON:0001876	BTO:0001042
UBERON:0001877	BTO:0002446
UBERON:0001880	BTO:0002698
UBERON:0001882	BTO:0001862
UBERON:0001883	BTO:0001869
UBERON:0001884	BTO:0001063
UBERON:0001885	BTO:0002496
UBERON:0001885	BTO:0002615
UBERON:0001886	BTO:0000258
UBERON:0001890	BTO:0000478
UBERON:0001891	BTO:0000138
UBERON:0001893	BTO:0000239
UBERON:0001894	BTO:0000342
UBERON:0001895	BTO:0000673
UBERON:0001896	BTO:0000041
UBERON:0001897	BTO:0001365
UBERON:0001898	BTO:0000614
UBERON:0001899	BTO:0000175
UBERON:0001901	BTO:0001389
UBERON:0001902	BTO:0001258
UBERON:0001904	BTO:0003684
UBERON:0001905	BTO:0001067
UBERON:0001906	BTO:0002252
UBERON:0001907	BTO:0003146
UBERON:0001911	BTO:0000817
UBERON:0001913	BTO:0000868
UBERON:0001914	BTO:0000276
UBERON:0001915	BTO:0004954
UBERON:0001917	BTO:0004757
UBERON:0001919	BTO:0004756
UBERON:0001920	BTO:0002460
UBERON:0001921	BTO:0002459
UBERON:0001923	BTO:0003753
UBERON:0001925	BTO:0002463
UBERON:0001926	BTO:0004366
UBERON:0001926	BTO:0004367
UBERON:0001927	BTO:0002674
UBERON:0001928	BTO:0001796
UBERON:0001929	BTO:0002697
UBERON:0001930	BTO:0002476
UBERON:0001932	BTO:0002473
UBERON:0001932	BTO:0005534
UBERON:0001934	BTO:0002474
UBERON:0001935	BTO:0002472
UBERON:0001941	BTO:0002699
UBERON:0001942	BTO:0003686
UBERON:0001943	BTO:0003388
UBERON:0001945	BTO:0000965
UBERON:0001949	BTO:0004998
UBERON:0001950	BTO:0000920
UBERON:0001951	BTO:0004480
UBERON:0001954	BTO:0003705
UBERON:0001957	BTO:0002108
UBERON:0001965	BTO:0003749
UBERON:0001966	BTO:0003750
UBERON:0001968	BTO:0001230
UBERON:0001969	BTO:0000131
UBERON:0001970	BTO:0000121
UBERON:0001971	BTO:0000501
UBERON:0001972	BTO:0002109
UBERON:0001976	BTO:0001578
UBERON:0001977	BTO:0000133
UBERON:0001977	BTO:0001239
UBERON:0001979	BTO:0002626
UBERON:0001980	BTO:0001997
UBERON:0001981	BTO:0001102
UBERON:0001982	BTO:0002045
UBERON:0001986	BTO:0000393
UBERON:0001987	BTO:0001078
UBERON:0001988	BTO:0000440
UBERON:0001989	BTO:0001325
UBERON:0001990	BTO:0000359
UBERON:0001991	BTO:0000113
UBERON:0001997	BTO:0000108
UBERON:0001999	BTO:0000621
UBERON:0002000	BTO:0000531
UBERON:0002005	BTO:0002506
UBERON:0002012	BTO:0000778
UBERON:0002016	BTO:0001799
UBERON:0002017	BTO:0001792
UBERON:0002018	BTO:0001823
UBERON:0002021	BTO:0000293
UBERON:0002022	BTO:0001105
UBERON:0002023	BTO:0004292
UBERON:0002025	BTO:0000438
UBERON:0002026	BTO:0000435
UBERON:0002027	BTO:0000344
UBERON:0002028	BTO:0000672
UBERON:0002029	BTO:0001449
UBERON:0002030	BTO:0000821
UBERON:0002031	BTO:0001845
UBERON:0002033	BTO:0005132
UBERON:0002034	BTO:0001822
UBERON:0002037	BTO:0000232
UBERON:0002038	BTO:0000143
UBERON:0002042	BTO:0004303
UBERON:0002043	BTO:0002434
UBERON:0002046	BTO:0001379
UBERON:0002048	BTO:0000763
UBERON:0002049	BTO:0003718
UBERON:0002050	BTO:0000174
UBERON:0002051	BTO:0001866
UBERON:0002053	BTO:0000048
UBERON:0002054	BTO:0000050
